Date,Harvest China A Research Select A HKD
4/8/17,108.41
4/9/17,108.41
4/10/17,108.41
4/11/17,108.41
4/12/17,108.41
4/13/17,108.41
4/14/17,108.41
4/15/17,108.41
4/16/17,108.41
4/17/17,108.41
4/18/17,108.41
4/19/17,108.41
4/20/17,108.41
4/21/17,108.41
4/22/17,108.41
4/23/17,108.41
4/24/17,108.41
4/25/17,108.41
4/26/17,108.41
4/27/17,108.41
4/28/17,108.41
4/29/17,108.41
4/30/17,108.41
5/1/17,108.41
5/2/17,108.41
5/3/17,108.41
5/4/17,108.41
5/5/17,108.41
5/6/17,108.41
5/7/17,108.41
5/8/17,108.41
5/9/17,108.41
5/10/17,108.41
5/11/17,108.41
5/12/17,108.41
5/13/17,108.41
5/14/17,108.41
5/15/17,108.41
5/16/17,108.41
5/17/17,108.41
5/18/17,108.41
5/19/17,108.41
5/20/17,108.41
5/21/17,108.41
5/22/17,108.41
5/23/17,108.41
5/24/17,108.41
5/25/17,108.41
5/26/17,108.41
5/27/17,108.41
5/28/17,108.41
5/29/17,108.41
5/30/17,108.41
5/31/17,108.41
6/1/17,108.41
6/2/17,108.41
6/3/17,108.41
6/4/17,108.41
6/5/17,108.41
6/6/17,108.41
6/7/17,108.41
6/8/17,108.41
6/9/17,108.41
6/10/17,108.41
6/11/17,108.41
6/12/17,108.41
6/13/17,108.41
6/14/17,108.41
6/15/17,108.41
6/16/17,108.41
6/17/17,108.41
6/18/17,108.41
6/19/17,108.41
6/20/17,108.41
6/21/17,108.41
6/22/17,108.41
6/23/17,108.41
6/24/17,108.41
6/25/17,108.41
6/26/17,108.41
6/27/17,108.41
6/28/17,108.41
6/29/17,108.41
6/30/17,108.41
7/1/17,108.41
7/2/17,108.41
7/3/17,108.41
7/4/17,108.41
7/5/17,108.41
7/6/17,108.41
7/7/17,108.41
7/8/17,108.41
7/9/17,108.41
7/10/17,108.41
7/11/17,108.41
7/12/17,108.41
7/13/17,108.41
7/14/17,108.41
7/15/17,108.41
7/16/17,108.41
7/17/17,108.41
7/18/17,108.41
7/19/17,108.41
7/20/17,108.41
7/21/17,108.41
7/22/17,108.41
7/23/17,108.41
7/24/17,108.41
7/25/17,108.41
7/26/17,108.41
7/27/17,108.41
7/28/17,108.41
7/29/17,108.41
7/30/17,108.41
7/31/17,108.41
8/1/17,108.41
8/2/17,108.41
8/3/17,108.41
8/4/17,108.41
8/5/17,108.41
8/6/17,108.41
8/7/17,108.41
8/8/17,108.41
8/9/17,108.41
8/10/17,108.41
8/11/17,108.41
8/12/17,108.41
8/13/17,108.41
8/14/17,108.41
8/15/17,108.41
8/16/17,108.41
8/17/17,108.41
8/18/17,108.41
8/19/17,108.41
8/20/17,108.41
8/21/17,108.41
8/22/17,108.41
8/23/17,108.41
8/24/17,108.41
8/25/17,108.41
8/26/17,108.41
8/27/17,108.41
8/28/17,108.41
8/29/17,108.41
8/30/17,108.41
8/31/17,108.41
9/1/17,108.41
9/2/17,108.41
9/3/17,108.41
9/4/17,108.41
9/5/17,108.41
9/6/17,108.41
9/7/17,108.41
9/8/17,108.41
9/9/17,108.41
9/10/17,108.41
9/11/17,108.41
9/12/17,108.41
9/13/17,108.41
9/14/17,108.41
9/15/17,108.41
9/16/17,108.41
9/17/17,108.41
9/18/17,108.41
9/19/17,108.41
9/20/17,108.41
9/21/17,108.41
9/22/17,108.41
9/23/17,108.41
9/24/17,108.41
9/25/17,108.41
9/26/17,108.41
9/27/17,108.41
9/28/17,108.41
9/29/17,108.41
9/30/17,108.41
10/1/17,108.41
10/2/17,108.41
10/3/17,108.41
10/4/17,108.41
10/5/17,108.41
10/6/17,108.41
10/7/17,108.41
10/8/17,108.41
10/9/17,108.41
10/10/17,108.41
10/11/17,108.41
10/12/17,108.41
10/13/17,108.41
10/14/17,108.41
10/15/17,108.41
10/16/17,108.41
10/17/17,108.41
10/18/17,108.41
10/19/17,108.41
10/20/17,108.41
10/21/17,108.41
10/22/17,108.41
10/23/17,108.41
10/24/17,108.41
10/25/17,108.41
10/26/17,108.41
10/27/17,108.41
10/28/17,108.41
10/29/17,108.41
10/30/17,108.41
10/31/17,108.41
11/1/17,108.41
11/2/17,108.41
11/3/17,108.41
11/4/17,108.41
11/5/17,108.41
11/6/17,108.41
11/7/17,108.41
11/8/17,108.41
11/9/17,108.41
11/10/17,108.41
11/11/17,108.41
11/12/17,108.41
11/13/17,108.41
11/14/17,108.41
11/15/17,108.41
11/16/17,108.41
11/17/17,108.41
11/18/17,108.41
11/19/17,108.41
11/20/17,108.41
11/21/17,108.41
11/22/17,108.41
11/23/17,108.41
11/24/17,108.41
11/25/17,108.41
11/26/17,108.41
11/27/17,108.41
11/28/17,108.41
11/29/17,108.41
11/30/17,108.41
12/1/17,108.41
12/2/17,108.41
12/3/17,108.41
12/4/17,108.41
12/5/17,108.41
12/6/17,108.41
12/7/17,108.41
12/8/17,108.41
12/9/17,108.41
12/10/17,108.41
12/11/17,108.41
12/12/17,108.41
12/13/17,108.41
12/14/17,108.41
12/15/17,108.41
12/16/17,108.41
12/17/17,108.41
12/18/17,108.41
12/19/17,108.41
12/20/17,108.41
12/21/17,108.41
12/22/17,108.41
12/23/17,108.41
12/24/17,108.41
12/25/17,108.41
