Date,AB Global High Yield AA HKD Inc,CSOP Select US Dollar Bd A HKD Acc,E Fund (HK) HKD Mny Mkt B HKD Acc,Harvest China A Research Select A HKD,AB SICAV I Low Volatility Eq A HKD Acc,CUAM China-Hong Kong Strategy A,E Fund (HK) Select Asia HY Bd A HKD Inc,Harvest China Equity A HKD Acc,Allianz Global Artfcl Intlgc AT HKD,ChinaAMC Select Fixed Inc Allc A HKD Acc,E Fund (HK) China Equity Div A HKD Inc,Harvest China Income A HKD Inc,Allianz Income and Growth AM HKD,Da Cheng China Balanced A (HKD),Franklin Biotechnology Discv A(acc)HKD,Janus Henderson Balanced A2 HKD,Allianz US Short Dur Hi Inc Bd AM HKD,Da Cheng Overseas China Concept A HKD,Franklin Technology A Acc HKD,Templeton Em Mkts Dyn Inc A MDis HKD,Bosera Orient Sun Rise Grt CNH Bd A HKD,E Fund (HK) Grtr Chn Leaders A HKD Acc,Franklin US Government A(acc)HKD
7/14/14,0.0,0.0,0.0,0.012054619159377111,0.005012694486036029,0.0,0.0,0.005590062111801242,0.0,0.0,0.0,0.0,0.002846299810246755,0.010224948875255713,0.0012195121951221743,0.0007352941176470562,0.0,0.0,0.006960556844547661,0.0,0.0,0.0,-0.0009017132551848439
7/15/14,-0.0012767044003744177,0.0,0.0,0.001475703594392419,-0.0029796605777950846,0.0,0.0,0.005470749139680597,0.0,0.0,0.0,0.0,-0.0066225165562914245,-0.005060728744939347,-0.027405602923264327,-0.0014695077149154967,0.0,0.0,-0.006144393241167445,0.0,0.0,0.0,-0.0009025270758122872
7/16/14,0.0,0.0,0.0,-0.00473634354278496,0.0025337837837837718,0.0,0.0,0.0003510311540149136,0.0,0.0,0.0,0.0,0.0,-0.0050864699898270915,-0.013775829680651275,-0.0014716703458425018,0.0,0.0,0.0023183925811438577,0.0,0.0,0.0,0.0
7/17/14,-0.001960115902505555,0.0,0.0,-0.0015862944162436943,-0.005508392197524414,0.0,0.0,-0.001579085884726661,0.0,0.0,0.0,0.0,-0.0009523809523809268,-0.002044989775051076,-0.027936507936507926,-0.002210759027266085,0.0,0.0,-0.01619121048573635,0.0,0.0,0.0,0.0018066847335138636
7/18/14,8.538980445749189e-05,0.0,0.0,0.004872365215549346,0.0056692297667144675,0.0,0.0,-0.0033388981636059967,0.0,0.0,0.0,0.0,-0.004766444232602529,0.0010245901639343025,0.030045721750489918,0.004431314623338345,0.0,0.0,0.017241379310344973,0.0,0.0,0.0,-0.0009017132551848439
7/19/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/20/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/21/14,-0.0005976775956284541,0.0,0.0,0.003162221987983438,-0.0029806259314456574,0.0,0.0,-0.0026448029621793934,0.0,0.0,0.0,0.0,0.0019157088122607746,-0.0010235414534288667,0.0025364616360177283,-0.0014705882352941124,0.0,0.0,0.0007704160246533309,0.0,0.0,0.0,0.0009025270758122872
7/22/14,0.0005980350277658975,0.0,0.0,0.009982137228118138,0.002989536621823774,0.0,0.0,0.015380535666931872,0.0,0.0,0.0,0.0,0.0009560229445506607,0.008196721311475308,0.011385199240986799,0.0022091310751104487,0.0,0.0,0.008468052347959887,0.0,0.0,0.0,0.0
7/23/14,0.001280737704917989,0.0,0.0,-0.0011444028297961095,0.0009071470226138523,0.0,0.0,0.008792548097849684,0.0,0.0,0.0,0.0,0.0019102196752625034,-0.0030487804878047697,0.05691056910569103,-0.0007347538574576928,0.0,0.0,-0.009160305343511421,0.0,0.0,0.0,-0.0009017132551848439
