Date,CSOP Select US Dollar Bd A HKD Acc
5/2/19,11.77
5/3/19,11.77
5/4/19,11.77
5/5/19,11.77
5/6/19,11.77
5/7/19,11.77
5/8/19,11.77
5/9/19,11.77
5/10/19,11.77
5/11/19,11.77
5/12/19,11.77
5/13/19,11.77
5/14/19,11.77
5/15/19,11.77
5/16/19,11.77
5/17/19,11.77
5/18/19,11.77
5/19/19,11.77
5/20/19,11.77
5/21/19,11.77
5/22/19,11.77
5/23/19,11.85
5/24/19,11.85
5/25/19,11.85
5/26/19,11.85
5/27/19,11.85
5/28/19,11.85
5/29/19,11.85
5/30/19,11.85
5/31/19,11.84
6/1/19,11.84
6/2/19,11.84
6/3/19,11.83
6/4/19,11.84
6/5/19,11.84
6/6/19,11.84
6/7/19,11.84
6/8/19,11.84
6/9/19,11.84
6/10/19,11.84
6/11/19,11.83
6/12/19,11.81
6/13/19,11.82
6/14/19,11.82
6/15/19,11.82
6/16/19,11.82
6/17/19,11.83
6/18/19,11.83
6/19/19,11.81
6/20/19,11.8
6/21/19,11.79
6/22/19,11.79
6/23/19,11.79
6/24/19,11.87
6/25/19,11.87
6/26/19,11.79
6/27/19,11.88
6/28/19,11.87
6/29/19,11.87
6/30/19,11.87
7/1/19,11.87
7/2/19,11.86
7/3/19,11.85
7/4/19,11.84
7/5/19,11.85
7/6/19,11.85
7/7/19,11.85
7/8/19,11.86
7/9/19,11.87
7/10/19,11.88
7/11/19,11.89
7/12/19,11.89
7/13/19,11.89
7/14/19,11.89
7/15/19,11.9
7/16/19,11.88
7/17/19,11.88
7/18/19,11.88
7/19/19,11.86
7/20/19,11.86
7/21/19,11.86
7/22/19,11.87
7/23/19,11.87
7/24/19,11.88
7/25/19,11.88
7/26/19,11.88
7/27/19,11.88
7/28/19,11.88
7/29/19,11.89
7/30/19,11.89
7/31/19,11.9
8/1/19,11.9
8/2/19,11.9
8/3/19,11.9
8/4/19,11.9
8/5/19,11.92
8/6/19,11.84
8/7/19,11.84
8/8/19,11.84
8/9/19,11.84
8/10/19,11.84
8/11/19,11.84
8/12/19,11.85
8/13/19,11.85
8/14/19,11.85
8/15/19,11.76
8/16/19,11.76
8/17/19,11.76
8/18/19,11.76
8/19/19,11.77
8/20/19,11.77
8/21/19,11.77
8/22/19,11.76
8/23/19,11.76
8/24/19,11.76
8/25/19,11.76
8/26/19,11.77
8/27/19,11.77
8/28/19,11.77
8/29/19,11.77
8/30/19,11.76
8/31/19,11.76
9/1/19,11.76
9/2/19,11.76
9/3/19,11.76
9/4/19,11.76
9/5/19,11.76
9/6/19,11.76
9/7/19,11.76
9/8/19,11.76
9/9/19,11.76
9/10/19,11.76
9/11/19,11.76
9/12/19,11.74
9/13/19,11.73
9/14/19,11.73
9/15/19,11.73
9/16/19,11.73
9/17/19,11.73
