Date,Harvest China Equity A HKD Acc
7/24/16,105.13
7/25/16,105.26
7/26/16,105.5
7/27/16,105.87
7/28/16,105.59
7/29/16,104.25
7/30/16,104.25
7/31/16,104.25
8/1/16,105.39
8/2/16,105.39
8/3/16,104.22
8/4/16,104.5
8/5/16,105.92
8/6/16,105.92
8/7/16,105.92
8/8/16,107.65
8/9/16,108.0
8/10/16,107.72
8/11/16,108.7
8/12/16,110.13
8/13/16,110.13
8/14/16,110.13
8/15/16,112.28
8/16/16,112.35
8/17/16,111.7
8/18/16,113.07
8/19/16,113.0
8/20/16,113.0
8/21/16,113.0
8/22/16,112.91
8/23/16,112.61
8/24/16,111.62
8/25/16,111.19
8/26/16,111.63
8/27/16,111.63
8/28/16,111.63
8/29/16,111.85
8/30/16,112.86
8/31/16,112.28
9/1/16,112.94
9/2/16,113.58
9/3/16,113.58
9/4/16,113.58
9/5/16,115.8
9/6/16,117.04
9/7/16,117.54
9/8/16,117.61
9/9/16,118.31
9/10/16,118.31
9/11/16,118.31
9/12/16,114.08
9/13/16,114.04
9/14/16,113.83
9/15/16,114.47
9/16/16,114.47
9/17/16,114.47
9/18/16,114.47
9/19/16,115.7
9/20/16,115.62
9/21/16,116.39
9/22/16,117.5
9/23/16,117.61
9/24/16,117.61
9/25/16,117.61
9/26/16,115.62
9/27/16,116.05
9/28/16,116.35
9/29/16,116.78
9/30/16,114.53
10/1/16,114.53
10/2/16,114.53
10/3/16,115.66
10/4/16,116.42
10/5/16,117.07
10/6/16,118.33
10/7/16,117.79
10/8/16,117.79
10/9/16,117.79
10/10/16,117.79
10/11/16,117.04
10/12/16,115.63
10/13/16,113.83
10/14/16,114.23
10/15/16,114.23
10/16/16,114.23
10/17/16,113.59
10/18/16,115.21
10/19/16,114.96
10/20/16,115.19
10/21/16,115.19
10/22/16,115.19
10/23/16,115.19
10/24/16,116.39
10/25/16,116.33
10/26/16,115.28
10/27/16,114.22
10/28/16,113.13
10/29/16,113.13
10/30/16,113.13
10/31/16,113.01
11/1/16,113.71
11/2/16,111.93
11/3/16,111.09
11/4/16,110.84
11/5/16,110.84
11/6/16,110.84
11/7/16,111.87
11/8/16,112.73
11/9/16,110.79
11/10/16,112.15
11/11/16,110.52
11/12/16,110.52
11/13/16,110.52
11/14/16,109.28
11/15/16,108.86
11/16/16,109.51
11/17/16,109.61
11/18/16,109.88
11/19/16,109.88
11/20/16,109.88
11/21/16,109.99
11/22/16,111.35
11/23/16,110.9
11/24/16,110.83
11/25/16,111.5
11/26/16,111.5
11/27/16,111.5
11/28/16,112.38
11/29/16,112.03
11/30/16,112.33
12/1/16,112.75
12/2/16,110.98
12/3/16,110.98
12/4/16,110.98
12/5/16,110.12
12/6/16,110.66
12/7/16,111.05
12/8/16,111.74
12/9/16,111.57
12/10/16,111.57
12/11/16,111.57
12/12/16,110.19
12/13/16,110.46
12/14/16,110.3
12/15/16,108.5
12/16/16,108.04
12/17/16,108.04
12/18/16,108.04
12/19/16,107.29
12/20/16,106.61
12/21/16,107.32
12/22/16,106.45
12/23/16,105.97
12/24/16,105.97
12/25/16,105.97
12/26/16,105.97
12/27/16,105.97
12/28/16,107.13
12/29/16,107.46
12/30/16,108.65
12/31/16,108.65
1/1/17,108.65
1/2/17,108.65
1/3/17,108.54
1/4/17,108.61
1/5/17,110.15
1/6/17,110.98
1/7/17,110.98
1/8/17,110.98
1/9/17,110.71
1/10/17,111.48
1/11/17,112.41
1/12/17,112.15
1/13/17,112.15
1/14/17,112.15
1/15/17,112.15
1/16/17,111.03
1/17/17,111.54
1/18/17,112.66
1/19/17,112.54
1/20/17,112.17
1/21/17,112.17
1/22/17,112.17
1/23/17,112.2
1/24/17,113.13
1/25/17,113.61
1/26/17,114.78
1/27/17,114.16
1/28/17,114.16
1/29/17,114.16
1/30/17,114.16
1/31/17,114.16
2/1/17,114.03
2/2/17,113.63
2/3/17,113.39
2/4/17,113.39
2/5/17,113.39
2/6/17,114.16
2/7/17,114.34
2/8/17,114.97
2/9/17,116.0
2/10/17,116.09
2/11/17,116.09
2/12/17,116.09
2/13/17,117.27
2/14/17,117.14
2/15/17,117.58
2/16/17,118.33
2/17/17,117.91
2/18/17,117.91
2/19/17,117.91
2/20/17,118.86
2/21/17,118.3
2/22/17,120.06
2/23/17,120.28
2/24/17,118.96
2/25/17,118.96
2/26/17,118.96
2/27/17,118.31
2/28/17,118.0
3/1/17,118.16
3/2/17,118.2
3/3/17,117.26
3/4/17,117.26
3/5/17,117.26
3/6/17,117.7
3/7/17,118.02
3/8/17,118.75
3/9/17,117.28
3/10/17,117.29
3/11/17,117.29
3/12/17,117.29
3/13/17,119.36
3/14/17,119.83
3/15/17,119.66
3/16/17,121.67
3/17/17,121.93
3/18/17,121.93
3/19/17,121.93
3/20/17,122.86
3/21/17,123.7
3/22/17,121.78
3/23/17,122.37
3/24/17,122.9
3/25/17,122.9
3/26/17,122.9
3/27/17,121.46
3/28/17,122.21
3/29/17,122.44
3/30/17,122.09
3/31/17,121.52
4/1/17,121.52
4/2/17,121.52
4/3/17,122.43
4/4/17,122.43
4/5/17,122.8
4/6/17,122.24
4/7/17,122.65
4/8/17,122.65
4/9/17,122.65
4/10/17,122.16
4/11/17,121.76
4/12/17,122.1
4/13/17,122.23
4/14/17,122.23
4/15/17,122.23
4/16/17,122.23
4/17/17,122.23
4/18/17,120.87
4/19/17,120.87
4/20/17,122.04
4/21/17,122.37
4/22/17,122.37
4/23/17,122.37
4/24/17,122.54
4/25/17,124.27
4/26/17,125.29
4/27/17,125.03
4/28/17,125.27
4/29/17,125.27
4/30/17,125.27
5/1/17,125.27
5/2/17,125.39
5/3/17,125.39
5/4/17,124.34
5/5/17,122.76
5/6/17,122.76
5/7/17,122.76
5/8/17,123.51
5/9/17,125.27
5/10/17,126.62
5/11/17,126.87
5/12/17,126.95
5/13/17,126.95
5/14/17,126.95
5/15/17,127.77
5/16/17,128.08
5/17/17,128.44
5/18/17,126.7
5/19/17,127.23
5/20/17,127.23
5/21/17,127.23
5/22/17,128.96
5/23/17,128.83
5/24/17,128.62
5/25/17,129.34
5/26/17,129.52
5/27/17,129.52
5/28/17,129.52
