Date,Franklin Biotechnology Discv A(acc)HKD
8/19/16,18.08
8/20/16,18.08
8/21/16,18.08
8/22/16,18.58
8/23/16,18.6
8/24/16,18.05
8/25/16,17.82
8/26/16,17.98
8/27/16,17.98
8/28/16,17.98
8/29/16,17.9
8/30/16,17.9
8/31/16,17.72
9/1/16,17.9
9/2/16,17.81
9/3/16,17.81
9/4/16,17.81
9/5/16,17.81
9/6/16,18.05
9/7/16,18.2
9/8/16,18.41
9/9/16,17.85
9/10/16,17.85
9/11/16,17.85
9/12/16,18.36
9/13/16,18.1
9/14/16,18.35
9/15/16,18.62
9/16/16,18.61
9/17/16,18.61
9/18/16,18.61
9/19/16,18.64
9/20/16,19.05
9/21/16,19.15
9/22/16,19.29
9/23/16,19.17
9/24/16,19.17
9/25/16,19.17
9/26/16,18.98
9/27/16,19.17
9/28/16,19.04
9/29/16,18.48
9/30/16,18.68
10/1/16,18.68
10/2/16,18.68
10/3/16,18.66
10/4/16,18.55
10/5/16,18.77
10/6/16,18.29
10/7/16,18.26
10/8/16,18.26
10/9/16,18.26
10/10/16,18.63
10/11/16,18.02
10/12/16,17.59
10/13/16,17.6
10/14/16,17.24
10/15/16,17.24
10/16/16,17.24
10/17/16,17.2
10/18/16,17.39
10/19/16,17.21
10/20/16,17.45
10/21/16,17.32
10/22/16,17.32
10/23/16,17.32
10/24/16,17.21
10/25/16,17.13
10/26/16,17.11
10/27/16,17.04
10/28/16,16.85
10/29/16,16.85
10/30/16,16.85
10/31/16,16.66
11/1/16,16.78
11/2/16,16.49
11/3/16,16.01
11/4/16,16.38
11/5/16,16.38
11/6/16,16.38
11/7/16,16.98
11/8/16,17.13
11/9/16,18.67
11/10/16,19.02
11/11/16,19.12
11/12/16,19.12
11/13/16,19.12
11/14/16,19.42
11/15/16,19.2
11/16/16,18.89
11/17/16,19.06
11/18/16,18.84
11/19/16,18.84
11/20/16,18.84
11/21/16,18.96
11/22/16,18.61
11/23/16,18.84
11/24/16,18.84
11/25/16,18.88
11/26/16,18.88
11/27/16,18.88
11/28/16,18.49
11/29/16,18.48
11/30/16,18.08
12/1/16,17.78
12/2/16,17.9
